Team,Repository,Role
osmos-sdk,onlinesales-ai/osmos-web-sdk,read
osmos-sdk,onlinesales-ai/osmos-web-sdk-playground,read
osmos-sdk,onlinesales-ai/web-osmos-sdk-source,read
osmos-sdk-admin,onlinesales-ai/android-os-sdk,admin
osmos-sdk-admin,onlinesales-ai/android-osmos-sdk-source,admin
osmos-sdk-admin,onlinesales-ai/demo-mobile-apps,admin
osmos-sdk-admin,onlinesales-ai/flutter-os-sdk,admin
osmos-sdk-admin,onlinesales-ai/flutter-osmos-sdk-source,admin
osmos-sdk-admin,onlinesales-ai/ios-os-sdk,admin
osmos-sdk-admin,onlinesales-ai/ios-osmos-sdk-source,admin
osmos-sdk-admin,onlinesales-ai/osmos-react-native-sdk-demo,admin
osmos-sdk-admin,onlinesales-ai/osmos-web-sdk,admin
osmos-sdk-admin,onlinesales-ai/osmos-web-sdk-playground,admin
osmos-sdk-admin,onlinesales-ai/web-osmos-sdk-source,admin
osmos-sdk-write,onlinesales-ai/android-os-sdk,write
osmos-sdk-write,onlinesales-ai/android-osmos-sdk-source,write
osmos-sdk-write,onlinesales-ai/demo-mobile-apps,write
osmos-sdk-write,onlinesales-ai/flutter-os-sdk,write
osmos-sdk-write,onlinesales-ai/flutter-osmos-sdk-source,write
osmos-sdk-write,onlinesales-ai/ios-os-sdk,write
osmos-sdk-write,onlinesales-ai/ios-osmos-sdk-source,write
osmos-sdk-write,onlinesales-ai/osmos-react-native-sdk-demo,write
osmos-sdk-write,onlinesales-ai/osmos-web-sdk,write
osmos-sdk-write,onlinesales-ai/osmos-web-sdk-playground,write
osmos-sdk-write,onlinesales-ai/web-osmos-sdk-source,write
osmos-ui-external-contractors,onlinesales-ai/hyperlocal-maverick-ui,read
osmos-ui-external-contractors,onlinesales-ai/hyperlocal-pulse-ui,read
osmos-ui-external-contractors,onlinesales-ai/hyperlocal-shared-ui,read
osmos-ui-external-contractors,onlinesales-ai/hyperlocal-shared-ui-v2,read
osmos-ui-external-contractors,onlinesales-ai/shared-ui,read
osmos-ui-external-contractors-write,onlinesales-ai/hyperlocal-maverick-ui,write
osmos-ui-external-contractors-write,onlinesales-ai/hyperlocal-pulse-ui,write
osmos-ui-external-contractors-write,onlinesales-ai/hyperlocal-shared-ui,write
osmos-ui-external-contractors-write,onlinesales-ai/hyperlocal-shared-ui-v2,write
osmos-ui-external-contractors-write,onlinesales-ai/shared-ui,write
osmso-offsite,onlinesales-ai/financeService,read
osmso-offsite,onlinesales-ai/launcherSharedLib,write
osmso-offsite,onlinesales-ai/osFacebookClient,read
osmso-offsite,onlinesales-ai/pmaxLauncher,read
osmso-offsite,onlinesales-ai/tiktokLauncher,read
osmso-offsite,onlinesales-ai/tiktokLauncher-temp,write
osmso-offsite,onlinesales-ai/vendorUploader,read
product-team,onlinesales-ai/osmos-claude-plugins,write
product-team,onlinesales-ai/product-scripts,write
product-team,onlinesales-ai/v0-in-store-screen-registration-v2,write
retailium,onlinesales-ai/auditService,read
retailium-admin,onlinesales-ai/auditService,read
retailium-write,onlinesales-ai/auditService,read
retailium-write,onlinesales-ai/kuberService,write
ui,onlinesales-ai/acquire-ui,read
ui,onlinesales-ai/ad-sim,read
ui,onlinesales-ai/admin-ui,read
ui,onlinesales-ai/brandads-ui,read
ui,onlinesales-ai/bulk-actions,read
ui,onlinesales-ai/captain-js,read
ui,onlinesales-ai/chrome-extension-icon-changer,read
ui,onlinesales-ai/developers-ui,read
ui,onlinesales-ai/domain-config-updator,read
ui,onlinesales-ai/hyperlocal-admin-ui,read
ui,onlinesales-ai/hyperlocal-maverick-ui,read
ui,onlinesales-ai/hyperlocal-microsite-monitor,read
ui,onlinesales-ai/hyperlocal-microsites,read
ui,onlinesales-ai/hyperlocal-microsites-strapi,read
ui,onlinesales-ai/hyperlocal-partner-ui,read
ui,onlinesales-ai/hyperlocal-pulse-ui,read
ui,onlinesales-ai/hyperlocal-shared-ui,read
ui,onlinesales-ai/hyperlocal-shared-ui-v2,read
ui,onlinesales-ai/hyperlocal-ui-qa,write
ui,onlinesales-ai/iab-url-verification,read
ui,onlinesales-ai/in-store-web-player,read
ui,onlinesales-ai/maverick-ui,read
ui,onlinesales-ai/multiVerseService,read
ui,onlinesales-ai/os-cms,read
ui,onlinesales-ai/os-ui-doc,read
ui,onlinesales-ai/osmos-lead-form,read
ui,onlinesales-ai/osmos-pulse-qa,write
ui,onlinesales-ai/osmos-react-native-sdk,read
ui,onlinesales-ai/osmos-ui-qa,write
ui,onlinesales-ai/osmos-web-sdk,read
ui,onlinesales-ai/osmos-web-sdk-playground,read
ui,onlinesales-ai/ott-ui,read
ui,onlinesales-ai/paypal-web-internal-sdk,read
ui,onlinesales-ai/paypal-web-sdk,read
ui,onlinesales-ai/placement-automation,read
ui,onlinesales-ai/rmhc,read
ui,onlinesales-ai/rmhc-ui,read
ui,onlinesales-ai/secure-api-demo,read
ui,onlinesales-ai/shared-ui,read
ui,onlinesales-ai/smm-ui,read
ui,onlinesales-ai/strapi-hyperlocal,write
ui,onlinesales-ai/strapi-osmos,write
ui,onlinesales-ai/ui-app-boilerplate,read
ui,onlinesales-ai/ui-domain-configs,read
ui,onlinesales-ai/ui-localium-domain-configs,read
ui,onlinesales-ai/ui-onboarding,read
ui,onlinesales-ai/ui-tools,read
ui-admin,onlinesales-ai/acquire-ui,admin
ui-admin,onlinesales-ai/ad-sim,admin
ui-admin,onlinesales-ai/admin-ui,admin
ui-admin,onlinesales-ai/brandads-ui,admin
ui-admin,onlinesales-ai/bulk-actions,admin
ui-admin,onlinesales-ai/captain-js,admin
ui-admin,onlinesales-ai/chrome-extension-icon-changer,admin
ui-admin,onlinesales-ai/developers-ui,admin
ui-admin,onlinesales-ai/domain-config-updator,admin
ui-admin,onlinesales-ai/hyperlocal-admin-ui,admin
ui-admin,onlinesales-ai/hyperlocal-maverick-ui,admin
ui-admin,onlinesales-ai/hyperlocal-microsite-monitor,admin
ui-admin,onlinesales-ai/hyperlocal-microsites,admin
ui-admin,onlinesales-ai/hyperlocal-microsites-strapi,admin
ui-admin,onlinesales-ai/hyperlocal-partner-ui,admin
ui-admin,onlinesales-ai/hyperlocal-pulse-ui,admin
ui-admin,onlinesales-ai/hyperlocal-shared-ui,admin
ui-admin,onlinesales-ai/hyperlocal-shared-ui-v2,admin
ui-admin,onlinesales-ai/hyperlocal-ui-qa,write
ui-admin,onlinesales-ai/iab-url-verification,admin
ui-admin,onlinesales-ai/in-store-web-player,admin
ui-admin,onlinesales-ai/maverick-ui,admin
ui-admin,onlinesales-ai/multiVerseService,admin
ui-admin,onlinesales-ai/os-cms,admin
ui-admin,onlinesales-ai/os-ui-doc,admin
ui-admin,onlinesales-ai/osmos-iframe-sdk,admin
ui-admin,onlinesales-ai/osmos-lead-form,admin
ui-admin,onlinesales-ai/osmos-pulse-qa,write
ui-admin,onlinesales-ai/osmos-react-native-sdk,admin
ui-admin,onlinesales-ai/osmos-ui-qa,admin
ui-admin,onlinesales-ai/osmos-web-sdk,admin
ui-admin,onlinesales-ai/osmos-web-sdk-playground,admin
ui-admin,onlinesales-ai/ott-ui,admin
ui-admin,onlinesales-ai/paypal-web-internal-sdk,admin
ui-admin,onlinesales-ai/paypal-web-sdk,admin
ui-admin,onlinesales-ai/placement-automation,admin
ui-admin,onlinesales-ai/rmhc,admin
ui-admin,onlinesales-ai/rmhc-ui,admin
ui-admin,onlinesales-ai/secure-api-demo,read
ui-admin,onlinesales-ai/shared-ui,admin
ui-admin,onlinesales-ai/smm-ui,maintain
ui-admin,onlinesales-ai/strapi-hyperlocal,admin
ui-admin,onlinesales-ai/strapi-osmos,admin
ui-admin,onlinesales-ai/ui-app-boilerplate,admin
ui-admin,onlinesales-ai/ui-domain-configs,admin
ui-admin,onlinesales-ai/ui-localium-domain-configs,admin
ui-admin,onlinesales-ai/ui-onboarding,admin
ui-admin,onlinesales-ai/ui-tools,admin
ui-team-be-members,onlinesales-ai/shared-ui,write
ui-write,onlinesales-ai/acquire-ui,write
ui-write,onlinesales-ai/ad-sim,write
ui-write,onlinesales-ai/admin-ui,write
ui-write,onlinesales-ai/brandads-ui,write
ui-write,onlinesales-ai/bulk-actions,write
ui-write,onlinesales-ai/captain-js,write
ui-write,onlinesales-ai/chrome-extension-icon-changer,write
ui-write,onlinesales-ai/developers-ui,write
ui-write,onlinesales-ai/domain-config-updator,write
ui-write,onlinesales-ai/hyperlocal-admin-ui,write
ui-write,onlinesales-ai/hyperlocal-maverick-ui,write
ui-write,onlinesales-ai/hyperlocal-microsite-monitor,write
ui-write,onlinesales-ai/hyperlocal-microsites,write
ui-write,onlinesales-ai/hyperlocal-microsites-strapi,write
ui-write,onlinesales-ai/hyperlocal-partner-ui,write
ui-write,onlinesales-ai/hyperlocal-pulse-ui,write
ui-write,onlinesales-ai/hyperlocal-shared-ui,write
ui-write,onlinesales-ai/hyperlocal-shared-ui-v2,write
ui-write,onlinesales-ai/hyperlocal-ui-qa,write
ui-write,onlinesales-ai/iab-url-verification,write
ui-write,onlinesales-ai/in-store-web-player,write
ui-write,onlinesales-ai/live-ads-plugin,write
ui-write,onlinesales-ai/maverick-ui,write
ui-write,onlinesales-ai/multiVerseService,write
ui-write,onlinesales-ai/os-cms,write
ui-write,onlinesales-ai/os-ui-doc,write
ui-write,onlinesales-ai/osmos-iframe-sdk,write
ui-write,onlinesales-ai/osmos-lead-form,write
ui-write,onlinesales-ai/osmos-pulse-qa,write
ui-write,onlinesales-ai/osmos-react-native-sdk,write
ui-write,onlinesales-ai/osmos-ui-qa,write
ui-write,onlinesales-ai/osmos-web-sdk,write
ui-write,onlinesales-ai/osmos-web-sdk-playground,write
ui-write,onlinesales-ai/ott-ui,write
ui-write,onlinesales-ai/paypal-web-internal-sdk,write
ui-write,onlinesales-ai/paypal-web-sdk,write
ui-write,onlinesales-ai/placement-automation,write
ui-write,onlinesales-ai/rmhc,write
ui-write,onlinesales-ai/rmhc-ui,write
ui-write,onlinesales-ai/secure-api-demo,read
ui-write,onlinesales-ai/shared-ui,write
ui-write,onlinesales-ai/smm-ui,write
ui-write,onlinesales-ai/sofie-ai,write
ui-write,onlinesales-ai/sofie-finance-agent,write
ui-write,onlinesales-ai/sofie-research-agent,write
ui-write,onlinesales-ai/sofie-shared,write
ui-write,onlinesales-ai/strapi-hyperlocal,write
ui-write,onlinesales-ai/strapi-osmos,write
ui-write,onlinesales-ai/ui-app-boilerplate,write
ui-write,onlinesales-ai/ui-domain-configs,read
ui-write,onlinesales-ai/ui-localium-domain-configs,read
ui-write,onlinesales-ai/ui-onboarding,write
ui-write,onlinesales-ai/ui-tools,write
