Team,Repository,Role
frigga-cloud,onlinesales-ai/publisher-svc,write
frigga-cloud,onlinesales-ai/python-cloud-function-template,admin
frigga-cloud,onlinesales-ai/reportService,write
frigga-cloud,onlinesales-ai/reposilite-k8s,admin
frigga-cloud,onlinesales-ai/restAccessor,admin
frigga-cloud,onlinesales-ai/restAccessor4py3,write
frigga-cloud,onlinesales-ai/restCommunicator,admin
frigga-cloud,onlinesales-ai/restObjects,admin
frigga-cloud,onlinesales-ai/reusable-workflows,admin
frigga-cloud,onlinesales-ai/reviewService,write
frigga-cloud,onlinesales-ai/revXAdServerNodeV2,write
frigga-cloud,onlinesales-ai/revXAdServerNodeV2-frigga,admin
frigga-cloud,onlinesales-ai/revxScripts,write
frigga-cloud,onlinesales-ai/rmhcReporting,write
frigga-cloud,onlinesales-ai/rmhcTracking,write
frigga-cloud,onlinesales-ai/scheduler-shared-dbaccess,admin
frigga-cloud,onlinesales-ai/schedulerLib4j,admin
frigga-cloud,onlinesales-ai/schedulerService,admin
frigga-cloud,onlinesales-ai/schedulerSvcObjects,admin
frigga-cloud,onlinesales-ai/sokratiCache,admin
frigga-cloud,onlinesales-ai/statsLogger,admin
frigga-cloud,onlinesales-ai/statsLoggingClient,admin
frigga-cloud,onlinesales-ai/temporalWorkflowTriggerConsumer,write
frigga-cloud,onlinesales-ai/third_party,admin
frigga-cloud,onlinesales-ai/trackm,write
frigga-cloud,onlinesales-ai/trackm-terraform,admin
frigga-cloud,onlinesales-ai/UUIDGenerator,admin
frigga-cloud,onlinesales-ai/vendorUploader,write
frigga-cloud,onlinesales-ai/workload-identity-automation,admin
hyperlocal,onlinesales-ai/aresJobGen,read
hyperlocal,onlinesales-ai/craftService,read
hyperlocal,onlinesales-ai/hyperlocalCampaignConfidenceScorePopulator,read
hyperlocal,onlinesales-ai/hyperlocalForecastingModelTrainingFlow,read
hyperlocal,onlinesales-ai/labs,read
hyperlocal,onlinesales-ai/lmsCrmSyncApp,admin
hyperlocal,onlinesales-ai/pmaxLauncher,read
hyperlocal,onlinesales-ai/portfolioBidStrategyUpdater,admin
hyperlocal,onlinesales-ai/suchiService,read
hyperlocal,onlinesales-ai/vendorUploader,read
hyperlocal-admin,onlinesales-ai/aresJobGen,admin
hyperlocal-admin,onlinesales-ai/craftService,read
hyperlocal-admin,onlinesales-ai/hyperlocalCampaignConfidenceScorePopulator,read
hyperlocal-admin,onlinesales-ai/hyperlocalForecastingModelTrainingFlow,read
hyperlocal-admin,onlinesales-ai/labs,admin
hyperlocal-admin,onlinesales-ai/lmsCrmSyncApp,admin
hyperlocal-admin,onlinesales-ai/localium-catalog-svc,admin
